year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
1983,0.358,0.336,0.248,0.175,0.222,0.167,0.115,0.284,0.326,0.113,0.245,0.096,0.224
1983,100,100,100,100,99,98,98,98,99,99,99,100,
1984,0.158,0.02,0.144,0.01,0.214,-0.039,0.025,0.089,0.127,0.041,-0.058,-0.156,0.048
1984,100,100,100,100,99,98,99,99,99,99,100,100,
1985,0.116,-0.104,0.043,0.003,0.068,0.121,-0.023,0.143,0.118,0.039,0.018,0.055,0.05
1985,100,100,100,100,100,99,99,99,99,99,100,100,
1986,0.117,0.309,0.138,0.135,0.131,0.04,0.043,0.088,0.024,0.051,0.04,0.032,0.096
1986,100,100,100,100,100,99,99,99,99,100,100,100,
1987,0.22,0.316,0.104,0.189,0.169,0.266,0.348,0.211,0.266,0.27,0.186,0.372,0.243
1987,100,100,100,100,100,99,99,99,99,100,100,100,
1988,0.459,0.333,0.385,0.328,0.319,0.33,0.256,0.258,0.258,0.255,0.029,0.176,0.282
1988,100,100,100,100,99,99,99,99,99,99,99,100,
1989,-0.026,0.237,0.185,0.15,0.038,0.094,0.264,0.252,0.298,0.26,0.115,0.284,0.179
1989,100,100,100,100,99,99,99,99,99,99,99,99,
1990,0.283,0.279,0.635,0.494,0.406,0.315,0.38,0.281,0.22,0.386,0.359,0.289,0.361
1990,100,100,100,100,100,99,99,99,99,99,99,99,
1991,0.303,0.407,0.247,0.436,0.314,0.433,0.467,0.362,0.353,0.251,0.254,0.238,0.339
1991,100,100,100,100,100,100,99,99,99,100,100,100,
1992,0.363,0.348,0.309,0.162,0.168,0.156,0.005,0.038,-0.09,-0.023,-0.037,0.099,0.125
1992,100,100,100,100,99,99,99,98,99,99,99,100,
1993,0.261,0.283,0.236,0.195,0.195,0.164,0.159,0.084,0.046,0.151,0.066,0.148,0.166
1993,100,100,100,99,98,99,99,99,98,99,99,100,
1994,0.2,0.014,0.235,0.256,0.208,0.314,0.182,0.173,0.272,0.347,0.353,0.247,0.234
1994,100,100,100,99,99,99,98,98,99,99,100,100,
1995,0.414,0.64,0.356,0.427,0.265,0.378,0.442,0.392,0.28,0.379,0.375,0.174,0.377
1995,100,100,100,99,99,99,99,99,99,99,100,100,
1996,0.216,0.462,0.288,0.252,0.237,0.217,0.325,0.351,0.205,0.128,0.316,0.323,0.277
1996,100,100,100,100,99,99,99,99,99,99,99,99,
1997,0.249,0.304,0.397,0.378,0.317,0.492,0.346,0.406,0.467,0.572,0.616,0.524,0.422
